"Export date: 5/14/2020, 12:12:44 PM","","#","Product Name","Brand","Price","Mo. Sales","Mo. Revenue","Date First Available","Net","Reviews","Rating","Fees","LQS","Seller type","Category","ASIN","Link"
"","","64","Laptop Backpack Slim Water Resistant College Travel Backpack for 15.6 Inch Laptop","ZOMAKE","$24.99","","","","","0","","","","FBA","","B08591JRCB","https://www.amazon.com/dp/B08591JRCB"
"","","65","Markryden Water-proof Business laptop Backpack Black-3 Pocket Size one-size","MARK RYDEN","$54.99","191","$10503","","$38.32","438","4.5","$16.67","4","FBA","Laptop Backpacks","B07SK6G374","https://www.amazon.com/Water-proof-Business-Backpack-Markryden-large-capacity/dp/B07SK6G374/ref=sr_1_53?crid=2NMN31U5AEZM6&dchild=1&keywords=backpack&qid=1589483505&sprefix=backpa%2Caps%2C1267&sr=8-53"
"","","66","Tzowla Travel Laptop Backpack Waterproof Business Work School College Bag Daypack with USB Charging&Headphone Port for Men Women Boy Girl Student Durable Luggage Backpacks Fit 15.6/17Inch(Purple)","Tzowla","$27.99","174","$4870","","$18.93","632","4.5","$9.06","7","FBA","Laptop Backpacks","B07YFFMHHL","https://www.amazon.com/Tzowla-Backpack-Waterproof-Headphone-Backpacks/dp/B07YFFMHHL/ref=sr_1_54?crid=2NMN31U5AEZM6&dchild=1&keywords=backpack&qid=1589483505&sprefix=backpa%2Caps%2C1267&sr=8-54"
"","","67","Under Armour Recruit Backpack 2.0","Under Armour","$31.77","405","$12867","","$19.05","339","5","$12.72","3","AMZ","Clothing Shoes & Jewelry","B077KHJZ21","https://www.amazon.com/Under-Armour-Recruit-2-0-Backpack/dp/B077KHJZ21/ref=sr_1_55?crid=2NMN31U5AEZM6&dchild=1&keywords=backpack&qid=1589483505&sprefix=backpa%2Caps%2C1267&sr=8-55"
"","","68","Carhartt Legacy Standard Work Backpack with Padded Laptop Sleeve and Tablet Storage Carhartt Brown","Carhartt","$55.39","831","$46029","","$39.18","896","4.5","$16.21","4","AMZ","Laptop Backpacks","B00SRWA544","https://www.amazon.com/Carhartt-Legacy-Standard-Backpack-Storage/dp/B00SRWA544/ref=sr_1_56?crid=2NMN31U5AEZM6&dchild=1&keywords=backpack&qid=1589483505&sprefix=backpa%2Caps%2C1267&sr=8-56"
"","","69","Under Armour unisex-adult Hustle 4.0 Backpack","Under Armour","$28.54","458","$13071","","$19.55","2415","5","$8.99","3","","Clothing Shoes & Jewelry","B07J3C7GYY","https://www.amazon.com/Under-Armour-Hustle-Backpack-Watermelon/dp/B07J3C7GYY/ref=sr_1_57?crid=2NMN31U5AEZM6&dchild=1&keywords=backpack&qid=1589483505&sprefix=backpa%2Caps%2C1267&sr=8-57"
"","","70","Starter Men's Sport Backpack with Logo","Starter","$19.50","210","$4095","","$8.7","64","4.5","$10.8","3","AMZ","Clothing Shoes & Jewelry","B07CL1JK83","https://www.amazon.com/Starter-Backpack-Amazon-Exclusive-Black/dp/B07CL1JK83/ref=sr_1_58?crid=2NMN31U5AEZM6&dchild=1&keywords=backpack&qid=1589483505&sprefix=backpa%2Caps%2C1267&sr=8-58"
"","","71","Business Travel Laptop Backpack 17.3 inch with USB Charging Port Waterproof Anti TheftSchool College Work Computer Backpack for Men Women Black","Superbuytech","$27.99","7","$196","","$19.07","45","4.5","$8.92","5","FBA","","B07Y2VNSY3","https://www.amazon.com/Business-Backpack-17-3-inch-Waterproof/dp/B07Y2VNSY3/ref=sr_1_59?crid=2NMN31U5AEZM6&dchild=1&keywords=backpack&qid=1589483505&sprefix=backpa%2Caps%2C1267&sr=8-59"
"","","72","Travel Laptop Business Backpack Anti Theft Water Resistant College School Computer Bagpack Gifts for Men & Women Fits 15.6 Inch Notebook with USB Charging Port Bonus a Small pencil Case Orange","KEYTANG","$9.95","120","$1194","","","13","4.5","","","FBA","Laptop Backpacks","B07ZV9YL2F","https://www.amazon.com/Travel-Business-Backpack-Resistant-Computer/dp/B07ZV9YL2F/ref=sr_1_60?crid=2NMN31U5AEZM6&dchild=1&keywords=backpack&qid=1589483505&sprefix=backpa%2Caps%2C1267&sr=8-60"
"","","73","KALIDI Casual Backpack for Women15 Inches Laptop Classic Backpack Camping Rucksack Travel Outdoor Daypack College School Bag","KALIDI","$36.99","217","$8027","","$26.73","979","4.5","$10.26","7","FBA","","B07V67HV5V","https://www.amazon.com/KALIDI-Backpack-Classic-Camping-Rucksack/dp/B07V67HV5V/ref=sr_1_61?crid=2NMN31U5AEZM6&dchild=1&keywords=backpack&qid=1589483505&sprefix=backpa%2Caps%2C1267&sr=8-61"
"","","74","Boulder Pack Co. Lightweight Foldable Travel & Hiking Backpack Daypack Bag - Fits Laptop","Boulder Pack Co","$17.99","71","$1277","","$12.1","131","4","$5.89","6","FBA","","B07BYGRF8Y","https://www.amazon.com/Boulder-Pack-Lightweight-Foldable-Backpack/dp/B07BYGRF8Y/ref=sr_1_62?crid=2NMN31U5AEZM6&dchild=1&keywords=backpack&qid=1589483505&sprefix=backpa%2Caps%2C1267&sr=8-62"
"","","75","ASPENSPORT Laptop Backpack for Men School Bookbag Fit 15.6'-17Water Repellent","ASPEN","$15.99","30","$480","","$5.51","506","4.5","$10.48","5","","","ASPENSPORT","https://www.amazon.com/ASPENSPORT-Backpack-Business-Waterproof-Lightweight/dp/B077YFHV8Z/ref=sr_1_63?crid=2NMN31U5AEZM6&dchild=1&keywords=backpack&qid=1589483505&sprefix=backpa%2Caps%2C1267&sr=8-63"
"","","76","Waterfly Crossbody Sling Backpack Sling Bag Travel Hiking Chest Bag Daypack","WATERFLY","$16.99","1185","$20133","","$11.25","565","4.5","$5.74","6","FBA","Sports & Outdoors","B07WNM894Y","https://www.amazon.com/Waterfly-Crossbody-Backpack-Travel-Daypack/dp/B07WNM894Y/ref=sr_1_64?crid=2NMN31U5AEZM6&dchild=1&keywords=backpack&qid=1589483505&sprefix=backpa%2Caps%2C1267&sr=8-64"
